LineId;NormalizedAngle;EntryPointX;EntryPointY;EntryAngle;ConfidenceScore;AmbiguityProb;NeedsReview;RuleApplied
557;90;-37837.1138;251150.4316;90;0.6857889294624329;0.9915142059326172;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
558;90;-35913.1168;161399.8595;270;0.9999998807907104;0.5842690467834473;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
559;90;-35913.1168;169219.9593;90;0.9999921321868896;0.3766959607601166;False;"EntryScorer; BaseModel"
560;90;-35913.1168;174669.9593;270;1.0;0.37665456533432007;False;"EntryScorer; BaseModel"
561;90;-35913.1168;185538.053;90;0.9999972581863403;0.3766557276248932;False;"EntryScorer; BaseModel"
562;90;-35913.1168;190988.053;270;1.0;0.37665483355522156;False;"EntryScorer; BaseModel"
563;90;-35913.1168;202148.383;90;0.9999977350234985;0.37665504217147827;False;"EntryScorer; BaseModel"
564;90;-35913.1168;207598.383;270;1.0;0.37665319442749023;False;"EntryScorer; BaseModel"
565;90;-35913.1168;221621.6986;90;0.9999990463256836;0.3766532242298126;False;"EntryScorer; BaseModel"
566;90;-35913.1168;227071.6986;270;1.0;0.37665295600891113;False;"EntryScorer; BaseModel"
567;90;-35913.1168;239404.4438;90;0.9999980926513672;0.37665387988090515;False;"EntryScorer; BaseModel"
568;90;-35913.1168;244854.4438;270;0.9992050528526306;0.9556516408920288;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
569;90;-35913.1168;251150.4316;90;0.6810382008552551;0.9915336966514587;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
570;90;-33989.1199;161399.8595;270;0.9999998807907104;0.5842690467834473;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
571;90;-33989.1199;169219.9593;90;0.9999921321868896;0.3766961693763733;False;"EntryScorer; BaseModel"
572;90;-33989.1199;174669.9593;270;1.0;0.37665456533432007;False;"EntryScorer; BaseModel"
573;90;-33989.1199;185538.053;90;0.9999972581863403;0.3766557276248932;False;"EntryScorer; BaseModel"
574;90;-33989.1199;190988.053;270;1.0;0.37665483355522156;False;"EntryScorer; BaseModel"
575;90;-33989.1199;202148.383;90;0.9999977350234985;0.37665504217147827;False;"EntryScorer; BaseModel"
576;90;-33989.1199;207598.383;270;1.0;0.37665319442749023;False;"EntryScorer; BaseModel"
577;90;-33989.1199;221621.6986;90;0.9999990463256836;0.3766532242298126;False;"EntryScorer; BaseModel"
578;90;-33989.1199;227071.6986;270;1.0;0.37665295600891113;False;"EntryScorer; BaseModel"
579;90;-33989.1199;239404.4438;90;0.9999980926513672;0.37665387988090515;False;"EntryScorer; BaseModel"
580;90;-33989.1199;244854.4438;270;0.999210000038147;0.9556516408920288;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
581;90;-33989.1199;251150.4316;90;0.6832484006881714;0.9915246367454529;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
582;90;-26293.1321;161399.8595;270;0.9999997615814209;0.584264874458313;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
583;90;-26293.1321;169219.9593;90;0.9999947547912598;0.37666431069374084;False;"EntryScorer; BaseModel"
584;90;-26293.1321;174669.9593;270;1.0;0.37665295600891113;False;"EntryScorer; BaseModel"
